,PSI
f_212,0.0018657752434820024
f_213,0.005006076577173781
f_214,0.017470705477946442
f_215,0.07887023278834156
f_216,0.006324513443842594
f_217,0.0002215866484807535
f_218,0.022570814184324044
f_219,0.03614996192343911
f_220,0.004291889633758189
f_221,0.0016009677317718593
f_222,0.0027884910133817065
f_223,0.005142240355737276
f_224,0.006497560396503553
f_225,0.07581490132557785
f_226,0.0008054671241384834
f_227,0.004102176254038053
f_228,0.0034040188433251445
f_229,0.5331258345982025
f_230,0.0001797400274591192
f_231,0.9099088931296249
f_232,0.0010144841685468737
f_233,0.004491795777975099
f_234,0.12217625760719793
f_235,0.0019625897934269164
f_236,0.2828090528477529
f_237,0.0041546367450854774
f_238,0.13468298822032285
f_239,0.004557596227953731
f_240,0.1333151358334387
f_241,0.09769812994241925
f_242,0.002487663790896942
f_243,0.015866827321352785
f_244,0.0006965457100006167
f_245,0.0642870586646662
f_246,0.09133985021453103
f_247,0.0073679832703403576
f_248,0.00034207431947973454
f_249,0.01396849329644982
f_250,0.0004263078851450796
f_251,0.09827811711329502
f_252,0.0003926160435727054
f_253,0.0014671345259471662
f_254,0.00033521912307242887
f_255,0.14368325458588174
f_256,0.0036880275572259286
f_257,0.0027627176171367953
f_258,0.005894324478838515
f_259,0.001639993786672694
f_260,0.004011847241868204
f_261,0.010303867214958976
f_262,0.005372659909813302
f_263,0.15848392743547898
f_264,0.016969353422605506
f_265,0.0010721325961417945
f_266,0.0035152425790379548
f_267,0.09326264665599095
f_268,0.029971397055715113
f_269,0.19542078973359034
f_270,0.018714936066718736
f_271,0.2637530875638049
f_272,0.10011030240144872
f_273,0.0006506093248630619
f_274,0.3240502843132988
f_275,0.020521486213415874
f_276,0.004195362845007236
f_277,0.0016803778709334402
f_278,0.14078275133382412
f_279,0.011556168587878207
f_280,0.1476237562332478
f_281,0.001307089366974354
f_282,0.005214473672075159
f_283,0.00036593392533197796
f_284,0.009123882375316352
f_285,0.002127887089607676
f_286,0.03647527755432602
f_287,0.024381745338964096
f_288,0.015439917889293308
f_289,0.606892729169242
f_290,0.005392685841915125
f_291,0.022202561978483977
f_292,0.0021669172343800657
f_293,0.16234611135522478
f_294,0.01626942310811532
f_295,0.003916419856705699
f_296,0.01782298262750573
f_297,0.0063987065828888644
f_298,0.006809066369026848
f_299,0.008029457170970769
