,Feature Addition LGBMRegressor
f_140,-0.001668212034621419
f_85,-0.001392887561557532
f_64,-0.001928369116894424
f_239,-0.0025587523073200558
f_260,-0.0033887386973571187
f_121,-0.00262015341373123
f_136,-0.00042568256834918383
f_280,-0.0003820167748255221
f_186,-0.000802904725499709
f_40,-0.0010280813345820983
f_203,-0.0008062619385972303
f_96,-0.000553377794630272
f_17,-0.0007440357527782604
f_106,-0.000568207137693677
f_167,-0.0023658652999958285
f_86,-0.0018354935215222357
f_161,-0.0018682366835843789
f_158,-0.0014573582845026634
f_141,-0.0031016160576805563
f_124,-0.002708630656475308
f_9,-0.003115770119033634
f_39,-0.0012017192413460442
f_211,-0.0013927728717333387
f_54,-0.000670000225781453
f_217,-0.0018874680799988441
f_43,-0.0009340618158951708
f_129,-0.002881687782945619
f_50,-0.0012884517918023697
f_113,-0.0013146963731557326
f_205,-0.0011040561381401304
f_72,-0.0011712231323522948
f_95,-8.187205755216809e-05
f_245,-0.00083978049875022
f_173,-0.0009547683960103859
f_4,-0.0010648587611031823
f_148,-0.0012034554225457406
f_97,-0.00023718100732017522
f_288,-0.0009412104977322144
f_49,-0.0011239732465387897
f_207,-0.0008663538611717314
f_262,-0.0013015475460614878
f_228,-0.0012304006019764335
