,Mutual_Info
f_166,0.007764142106036154
f_167,0.023090288094056
f_168,0.0264222973246655
f_169,0.021455134312981627
f_170,0.005235710276013883
f_171,0.008189139778306043
f_172,0.03005916567509992
f_173,0.03824462529294692
f_174,0.01095419217948379
f_175,0.006866820540369467
f_176,0.008399576885819826
f_177,0.006098678416649683
f_178,0.0034843799682082732
f_179,0.017110543401619438
f_180,0.02902867039456325
f_181,0.02282531998321069
f_182,0.0057210458453083035
f_183,0.008931933485096799
f_184,0.023854130753607983
f_185,0.025738023291612677
f_186,0.0017980612085306547
f_187,0.012053406945584655
f_188,0.029449830654042053
f_189,0.015825357638765247
f_190,0.015959196418790178
f_191,0.02458203125554448
f_192,0.027181148270627453
f_193,0.031119469263385824
f_194,0.021956095823685295
f_195,0.0033384806528289346
f_196,0.008427172303111519
f_197,0.014379632708932277
f_198,0.02421178938305779
f_199,0.00183066051816283
f_200,0.007780804843236844
f_201,0.01224273240304008
f_202,0.011675650779133129
f_203,0.028513471922826383
f_204,0.0036845497320259213
f_205,0.009419436633997691
f_206,0.009786621022065844
f_207,0.03791726157026254
f_208,0.010484099845106343
f_209,0.01724174173969928
f_210,0.023601509846096214
f_211,0.028896642533020156
f_212,0.02278005552578044
f_213,0.002924157611913003
f_214,0.0332177338081463
f_215,0.010491382311288433
f_216,0.02011423973691162
f_217,0.016107503539572576
f_218,0.021299958967070154
f_219,0.016050293945657046
f_220,0.009961899596683033
f_221,0.010224342119306229
f_222,0.011335754918444074
f_223,0.006008443224447824
f_224,0.007012894237238498
f_225,0.013426122066114488
f_226,0.030241346624178433
f_227,0.0038070300101056276
f_228,0.012390614791853771
f_229,0.019096452649286277
f_230,0.020190905567293527
f_231,0.017216435922164486
f_232,0.01395803982986088
f_233,0.02040480952336665
f_234,0.017954023274326047
f_235,0.013483477496881946
f_236,0.012543528762095413
f_237,0.011826679468383006
f_238,0.01991016191786521
f_239,0.003508254779521991
f_240,0.027310688660299398
f_241,0.018355807964526072
f_242,0.0077603787675410985
f_243,0.014257883011214112
f_244,0.0054656293456103455
f_245,0.030763054259412392
f_246,0.023868331599967263
f_247,0.03152956456299272
f_248,0.010466679071186036
f_249,0.012045142885121152
f_250,0.029328603742050596
f_251,0.018946202622728947
f_252,0.03323435133835506
f_253,0.0032983574801210835
f_254,0.026652777475709044
f_255,0.03900212803299574
f_256,0.0044624499880470125
f_257,0.006922051498527537
f_258,0.0014719563181673223
f_259,0.007779443089191318
f_260,0.002589156530617309
f_261,0.014341674755793399
f_262,0.013655074799687306
f_263,0.03584195610184704
f_264,0.030789764778430317
f_265,0.023194299334700297
f_266,0.0029924605862312603
f_267,0.02107667467489094
f_268,0.03163353644565792
f_269,0.015583290342434886
f_270,0.03227485414738496
f_271,0.031706776150743465
f_272,0.005439604615887106
f_273,0.03646381264763754
f_274,0.03774978824667308
f_275,0.0037454663618667894
f_276,0.014628604010615831
f_277,0.017661848801642677
f_278,0.011108071222232674
f_279,0.0019992334993297334
f_280,0.04017161410453163
f_281,0.0031410766438879634
f_282,0.005980642744393805
f_283,0.0003006365345932238
f_284,0.001613875522335384
f_285,0.025387194877650288
f_286,0.025169941986578515
f_287,0.01835937972183732
f_288,0.02184263879378001
f_289,0.02020177933719136
f_290,0.008036433102683205
f_291,0.011942986718207038
f_292,0.013207754089149759
f_293,0.014499655814665502
f_294,0.011286731455776966
f_295,0.027078586153082895
f_296,0.00825905273143146
f_297,0.007800930109849169
f_298,0.006569440332226506
f_299,0.021978676999545144
