,Feature Addition XGBRegressor
f_81,0.0006738503774006421
f_49,-0.0006261467933654785
f_127,-0.00012433528900146484
f_99,0.00018195311228430544
f_182,-0.0003724495569865649
f_216,-0.00026671091715502193
f_101,-0.0004616181055705493
f_46,-0.0007525285085042688
f_276,-0.0003909866015117114
f_68,-0.0002376238505046313
f_55,-0.0001322627067565918
f_91,-0.0003863175710042688
f_143,-0.00018807252248131956
f_296,-0.0003550847371419641
f_137,3.2762686411502706e-05
f_56,0.0006412665049234656
f_138,0.0014552871386209754
f_147,4.063049952185427e-05
f_132,0.0010200142860412598
f_279,-0.0006593465805053711
f_39,-0.0003156860669454309
f_86,-0.00027052561442064693
f_8,0.00035830338795972416
f_109,-0.0003965298334758227
f_201,-0.0010193983713786547
f_163,0.00010226170221960817
f_160,-0.0004235704739888879
f_121,-0.0004418492317199707
f_239,-0.0008655190467834473
f_199,-0.0005901654561361047
f_35,-0.0008244713147481653
f_288,-0.00010005633036302974
f_26,-0.00015385945638024534
f_107,0.00024580955505371094
f_50,-0.0006322662035624926
f_227,-0.0006351868311564868
f_116,4.659096399939333e-05
f_134,2.9385089874267578e-05
f_210,4.337231318152224e-05
f_228,-0.0006987452507019043
f_36,-0.00013204415639245237
f_298,-0.0010793805122375488
f_128,5.5472056070926534e-05
f_42,-0.0005186001459758227
f_291,0.00035216410954785893
f_203,5.290905634558474e-05
f_52,-0.00010802348454796995
f_245,9.721517562866211e-05
f_69,-0.0009881854057312012
f_45,-0.0007906754811605188
f_115,-0.001172165075937981
f_48,0.0017586549123127515
f_256,-0.0005604426066081469
f_96,-0.0006105701128642504
f_123,-3.826618194580078e-05
f_189,-0.0005852381388347094
f_215,0.0006669163703918457
f_249,1.1960665384891378e-05
f_186,-0.0008357564608256762
f_117,0.0012770493825275953
f_195,-0.0008054574330648157
f_88,-0.000155945618947384
f_270,-0.00010047356287645748
f_54,0.0004179875055948523
f_76,-0.00030074516932177
f_253,-0.001141667366027832
f_185,-0.00019051631291711058
f_37,-0.0012740095456441614
f_23,-0.0008250276247661059
f_194,-0.0008261203765869141
f_12,-0.001006941000620598
f_158,-0.00017841657002770628
f_259,-0.0005819996198018762
f_180,-9.01619593303149e-05
f_206,-0.00026126702626549925
f_159,-1.633167266845703e-05
f_290,-0.0003469387690226977
f_191,-6.0617923736572266e-05
f_230,-0.0004343589146932336
f_218,5.2412350972419475e-05
f_24,-0.001125037670135498
f_105,-0.001163025697072384
f_31,-0.0006295839945476001
f_17,-0.00026692946751916136
f_72,-0.0003562768300374719
f_236,-0.0006011128425598145
f_10,-0.00016498565673828125
f_97,-0.00022621949513756956
f_277,-0.00029532114664720943
f_131,-0.000119169553120968
f_273,-0.0005700190862020227
f_3,0.0006510615348815918
f_220,-0.0009605089823405688
f_85,-0.00010869900385546138
f_40,-0.0004773537317912524
f_110,-0.0008785128593444824
f_27,-1.762310663866451e-05
f_141,-0.001105050245920891
f_260,-0.0010477304458618164
f_28,-0.00021757682164513792
f_154,-5.6107838948604716e-05
f_47,-0.00041413307189941406
f_129,-0.0008974472681682055
f_2,2.682209014892578e-05
f_103,-0.0009905298550924035
f_148,-0.0008117556571960449
f_266,-0.0011809269587199633
f_293,0.0003249645233154297
f_38,-0.0006064971288045617
f_111,-0.001023709774017334
f_70,-0.0007515152295430871
f_167,-0.0006969372431437915
f_20,-0.0014014045397441333
f_13,-0.0007191697756450122
f_140,-0.0006319085756938403
f_4,-0.0006073713302612305
f_222,-0.0011245210965474817
f_9,-0.0009905099868774414
f_262,-0.0006876389185588305
f_0,-0.0008848110834758227
f_258,-0.0012387633323669434
f_1,-0.0008261402448018762
investment_id,-0.0015987952550252649
f_254,-0.0003191828727722168
